"","level","new_taxa","term","df","sumsq","meansq","statistic","p.value"
"93","order","Pirellulales","treatment",5,41.1238643413937,8.22477286827875,2.61832973910247,0.0378089434885025
"94","order","Planctomycetales","treatment",5,2.38935579754167,0.477871159508335,0.637380377292992,0.672357972730282
"95","order","Propionibacteriales","treatment",5,57.5079954078356,11.5015990815671,1.12038939234515,0.364359057948915
"96","order","Pseudomonadales","treatment",5,2004.93560902812,400.987121805624,1.37307397358847,0.253799192583289
"97","order","Rhizobiales","treatment",5,2.07158556104166,0.414317112208333,0.768438086149817,0.57780940701529
"98","order","Rhodospirillales","treatment",5,266.909173358518,53.3818346717036,0.381371569779076,0.858702952953847
"99","order","Rickettsiales","treatment",5,28.5851170835938,5.71702341671877,1.77803921149325,0.138290176772508
"100","order","Saccharimonadales","treatment",5,578.039853832066,115.607970766413,2.99535866824394,0.0211568648869583
"101","order","SBR1031","treatment",5,0.813104554166667,0.162620910833333,0.822198562362019,0.54093338876738
"102","order","Selenomonadales","treatment",5,8927.18483030483,1785.43696606097,1.19472176888829,0.328237728128369
"103","order","Sphingomonadales","treatment",5,0.908427215910418,0.181685443182084,0.917402672195989,0.479155580508229
"104","order","Spirochaetales","treatment",5,3976.7939310878,795.358786217561,0.454117560066103,0.807894530305534
"105","order","Synergistales","treatment",5,995.057779645585,199.011555929117,2.82618635986291,0.02743621448076
"106","order","Thermomicrobiales","treatment",5,3.24981513096041,0.649963026192082,0.852052876247375,0.521052734502806
"107","order","Vibrionales","treatment",5,18.6986430897417,3.73972861794834,0.967886646899231,0.448395814593133
"108","order","Victivallales","treatment",5,606.279955916367,121.255991183273,1.81827121282345,0.130049074343872
"109","order","WCHB1-41","treatment",5,1520.75167541789,304.150335083577,0.326327784298807,0.894276321508686
"110","family","Acidaminococcaceae","treatment",5,2103.30740390679,420.661480781358,1.46205356836196,0.222604938831106
"111","family","Aerococcaceae","treatment",5,17.8409160081416,3.56818320162831,0.226230841917947,0.949081030340479
"112","family","Anaerolineaceae","treatment",5,12.3194124352354,2.46388248704708,0.244097226129202,0.940450626636629
"113","family","Anaeroplasmataceae","treatment",5,4.925358683525,0.985071736704999,1.3074709680277,0.279252925977454
"114","family","Arachis duranensis","treatment",5,3.45374573694166,0.690749147388333,0.979570828480524,0.441482473821587
"115","family","Atopobiaceae","treatment",5,1289.40387812997,257.880775625993,2.35734276389747,0.0566246703868256
"116","family","Bacillaceae","treatment",5,484.856132414669,96.9712264829338,0.816921547834493,0.544493337024108
"117","family","Bacteroidaceae","treatment",5,5273.56116864415,1054.71223372883,0.459846045365229,0.803763639453483
"118","family","Bacteroidales RF16 group","treatment",5,127.90803945926,25.5816078918521,0.314175685357214,0.901686069118913
"119","family","Bacteroidales UCG-001","treatment",5,25.7710276784106,5.15420553568211,1.0894172654798,0.380338652375137
"120","family","Bifidobacteriaceae","treatment",5,38.9418289851854,7.78836579703709,0.238481393938142,0.943223898660705
"121","family","Brevibacteriaceae","treatment",5,8.20794357604166,1.64158871520833,2.03604626866732,0.0930686863292855
"122","family","Burkholderiaceae","treatment",5,240.8571658482,48.1714331696399,0.497899992093472,0.775996058595606
"123","family","Campylobacteraceae","treatment",5,143.878187530994,28.7756375061988,2.65294261386411,0.0358399039321598
"124","family","Carnobacteriaceae","treatment",5,20.6129984605354,4.12259969210708,2.5397062094568,0.0426969848904466
"125","family","Cenchrus americanus","treatment",5,1.23112852826042,0.246225705652083,0.919426068599188,0.477895274294794
"126","family","Christensenellaceae","treatment",5,16171.7691686593,3234.35383373187,2.15533893343907,0.0774090024788302
"127","family","Clostridiaceae 1","treatment",5,6754.96375840474,1350.99275168095,0.841033176637395,0.528338906646525
"128","family","Clostridiaceae 2","treatment",5,2.51020780408542,0.502041560817084,0.167470441742882,0.973168131027787
"129","family","Clostridiaceae 4","treatment",5,0.411981071660416,0.0823962143320833,0.376915114308518,0.861691368380846
"130","family","Clostridiales vadinBB60 group","treatment",5,1128.60175637064,225.720351274128,0.785723485509726,0.56580926314436
"131","family","Coriobacteriales Incertae Sedis","treatment",5,6.54333513419999,1.30866702684,0.37885395434903,0.860393314054347
"132","family","Corynebacteriaceae","treatment",5,3.55993447982498,0.711986895964996,0.0809158813728729,0.994853654390172
